gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,InternetService_Fiber optic,Contract_One year,Contract_Two year,tenure_group_Medium,tenure_group_Short,HighMonthlyCharge,tenure_x_charge,Cluster
0,0,0,-1.2774445836787656,0,0,-1.3213496211870024,1,False,False,False,False,True,0,-0.99553838059328,1
1,0,0,0.3513699651224484,1,0,-1.3213496211870024,0,False,True,False,True,False,0,-0.5539525120857086,0
0,0,1,0.7992939660427822,1,0,-1.5207546382825785,0,False,False,False,False,False,0,-0.5702911892204887,0
0,0,0,-1.2774445836787656,1,0,0.3735930241253952,1,False,True,False,False,True,1,-0.973017501299394,1
1,0,0,1.4100994218432374,1,0,-0.4572612137728389,0,True,False,False,False,False,0,0.5023208853844024,0
0,1,0,1.4508197855632678,1,1,0.8388713973484064,1,True,False,False,False,False,1,1.6959274879603683,3
0,0,1,-0.3815965818380978,1,1,0.4068271936413246,0,True,False,False,True,False,1,-0.2245294541790602,2
1,0,1,1.6137012404433893,1,0,0.2406563460616778,0,False,False,False,False,False,1,1.2826031150372814,3
1,0,0,1.5322605130033284,1,1,1.3041497705714176,1,True,False,False,False,False,1,2.2081670954291512,3
1,0,0,-1.2774445836787656,1,0,-1.5207546382825785,1,False,True,False,False,True,0,-0.9981878958043257,1
1,0,0,-1.2774445836787656,1,0,-1.4875204687666492,0,False,False,False,False,True,0,-0.997746309935818,1
1,0,1,0.0663274190822359,1,0,0.6394663802528302,0,False,False,True,True,False,1,0.2545912131516548,2
1,1,1,-0.1779947632379461,1,1,-0.4572612137728389,0,True,True,False,True,False,0,-0.3759934070771573,0
0,1,0,-0.5851984004382496,1,1,0.6727005497687596,1,True,False,False,True,False,1,-0.3309516484893849,2
0,0,0,-0.7073594915983407,1,0,-1.4875204687666492,0,True,False,False,True,False,0,-0.874102266753698,0
0,1,0,-0.8702409464784621,1,1,1.0050422449280532,1,True,False,True,False,True,1,-0.5451207947155572,1
1,0,0,-0.8702409464784621,1,0,-0.3575587052250508,1,False,True,False,False,True,0,-0.744276021412472,1
1,0,1,-1.2774445836787656,1,1,0.174188007029819,1,True,False,True,False,True,1,-0.9756670165104394,1
0,0,1,0.188488510242327,1,0,0.805637227832477,0,False,False,False,True,False,1,0.4475642376894636,2
1,0,1,-0.4223169455581282,1,0,0.805637227832477,1,True,False,False,True,False,1,-0.1419528967681443,2
0,0,0,-1.2774445836787656,1,0,0.174188007029819,0,False,False,False,False,True,1,-0.9756670165104394,1
0,0,1,-1.2774445836787656,1,0,-1.5207546382825785,0,False,True,False,False,True,0,-0.9981878958043257,1
1,0,1,0.5549717837226001,1,0,0.5065297021891128,0,False,False,False,True,False,1,0.6184579688018937,2
0,0,0,0.758573602322752,1,1,1.4038522791192056,0,False,False,True,False,False,1,1.4031560571398485,3
0,0,0,0.3513699651224484,1,0,1.3041497705714176,0,False,False,False,True,False,1,0.8763441160103156,2
0,0,0,-1.1145631287986442,1,0,0.1077196679979603,1,False,False,False,False,True,1,-0.8564388320133951,1
0,0,0,0.5142514200025698,1,1,0.805637227832477,1,True,False,False,True,False,1,0.7619733760668546,2
1,0,1,-0.1372743995179157,1,0,-0.1581536881294745,0,False,False,False,True,False,0,-0.2382186161027949,0
0,1,0,-0.7073594915983407,1,1,0.9053397363802652,0,False,False,True,True,False,1,-0.3971895287655207,2
1,0,0,1.6137012404433893,0,0,-0.0252170100657571,0,False,False,False,False,False,0,1.0282496547769202,3
1,0,0,0.7178532386027215,1,1,1.3041497705714176,0,True,False,True,False,False,1,1.2896684889334025,3
1,0,1,-0.2187151269579764,1,0,-1.45428629925072,0,True,False,False,True,False,0,-0.7561988398621764,0
1,0,0,1.6137012404433893,1,0,0.6727005497687596,0,False,True,False,False,False,1,1.6959274879603683,3
0,0,1,0.758573602322752,1,0,0.174188007029819,0,False,False,False,False,False,1,0.569883523266061,3
0,0,0,1.125056875803025,1,0,0.971808075412124,0,False,False,False,False,False,1,1.483966271076734,3
1,0,0,-0.62591876415828,1,1,-1.5207546382825785,0,True,False,True,True,False,0,-0.8639457917780238,0
0,0,0,1.6137012404433893,1,0,-1.45428629925072,0,True,False,False,False,False,0,-0.3389001941225212,0
0,0,0,0.0256070553622056,1,0,1.3041497705714176,1,True,False,False,True,False,1,0.5089446734120161,2
0,1,1,1.369379058123207,1,1,1.3373839400873468,0,True,False,False,False,False,1,2.053612041451501,3
0,0,1,1.4915401492832985,1,1,1.3041497705714176,1,True,False,False,False,False,1,2.162242165104364,3
1,0,0,-1.1145631287986442,1,0,0.174188007029819,1,False,True,False,False,True,1,-0.8520229733283194,1
0,0,0,1.002895784642934,1,1,1.2044472620236295,0,False,False,True,False,False,1,1.5356318176921198,3
0,1,0,-0.9924020376385532,1,0,0.3735930241253952,1,False,True,False,False,True,1,-0.7380938192533659,1
0,0,0,-0.748079855318371,1,1,-0.4572612137728389,0,False,False,True,True,False,0,-0.6912857171915634,0
1,0,0,-0.3001558543980371,1,1,1.0050422449280532,1,False,False,False,True,False,1,0.0421884103995129,2
0,0,1,0.7992939660427822,1,1,-1.4875204687666492,0,True,False,False,False,False,0,-0.5473287240580951,0
0,1,0,-1.0331224013585834,1,0,0.3735930241253952,1,False,False,False,False,True,1,-0.7716543452599414,1
1,0,0,-0.7888002190384014,1,0,0.5065297021891128,1,True,False,False,True,False,1,-0.5473287240580951,2
0,1,0,-0.7073594915983407,1,1,0.8388713973484064,1,False,False,True,True,False,1,-0.4104371048207478,2
1,0,0,-0.4223169455581282,1,1,-0.3243245357091214,1,False,False,True,True,False,0,-0.4722591264118079,0
0,0,0,-0.5444780367182193,1,1,-1.4875204687666492,0,True,False,False,True,False,0,-0.8387753972730922,0
1,0,1,-0.3815965818380978,0,0,-1.1551787736073555,0,True,False,False,True,False,0,-0.7018837780357451,0
0,0,0,1.6137012404433893,1,1,1.6364914657307112,0,False,False,False,False,False,1,2.6179587814041776,3
1,1,0,1.6137012404433893,1,1,1.1047447534758412,0,True,False,False,False,False,1,2.109251860883455,3
0,0,1,1.0843365120829946,1,0,1.071510583959912,0,False,True,False,False,False,1,1.5206178981628624,3
0,0,1,1.5322605130033284,1,1,0.3403588546094659,0,True,False,False,False,False,1,1.311747782358781,3
1,0,1,1.5322605130033284,1,1,1.2044472620236295,0,True,True,False,False,False,1,2.115434063042561,3
1,0,1,-0.9516816739185228,1,1,1.270915601055488,0,True,True,False,False,True,1,-0.5972279271994506,1
0,0,0,-1.1960038562387048,1,1,-1.3213496211870024,0,False,False,True,False,True,0,-0.9734590871679016,1
1,1,0,-0.62591876415828,1,1,1.2376814315395588,0,True,False,True,True,False,1,-0.2408681313138404,2
0,0,1,-0.1779947632379461,1,1,0.174188007029819,0,True,False,False,True,False,1,-0.1410697250311292,2
0,0,0,-0.9109613101984924,1,1,-0.3575587052250508,0,True,False,False,False,True,0,-0.7681216583118808,1
1,0,1,-0.8702409464784621,1,0,-1.45428629925072,0,False,False,True,False,True,0,-0.9045716916807204,1
1,1,0,1.6137012404433893,1,0,1.270915601055488,0,False,True,False,False,False,1,2.268222773546181,3
1,0,0,-0.9924020376385532,1,1,0.174188007029819,1,True,False,False,False,True,1,-0.7592899409417294,1
1,1,0,1.4915401492832985,1,0,-1.4875204687666492,0,False,False,False,False,False,0,-0.3971895287655207,0
0,0,1,0.2699292376823877,1,1,-1.4875204687666492,0,True,True,False,True,False,0,-0.6621410498700636,0
1,0,1,1.4100994218432374,0,0,-0.4572612137728389,0,False,False,True,False,False,0,0.5023208853844024,0
1,0,0,0.2699292376823877,1,0,-1.4875204687666492,0,False,False,True,True,False,0,-0.6621410498700636,0
1,0,1,0.880734693482843,1,0,0.0412513289661016,0,True,False,False,False,False,1,0.5672340080550154,3
0,0,0,-1.2774445836787656,1,0,0.3071246850935365,1,False,False,False,False,True,1,-0.9739006730364091,1
0,0,1,1.6137012404433893,0,0,-0.1581536881294745,0,False,True,False,False,False,0,0.9010729246467396,3
1,0,0,-0.9109613101984924,1,1,1.1379789229917707,1,True,False,True,False,True,1,-0.5694080174834736,1
1,0,1,-0.7888002190384014,1,1,1.071510583959912,1,False,False,True,True,False,1,-0.4497382471179217,2
0,0,0,0.1070477828022663,1,0,1.1379789229917707,0,False,False,False,True,False,1,0.5235170070727659,2
1,0,1,-0.8295205827584317,0,1,-0.9557737565117794,0,True,True,False,False,True,0,-0.8158129321106985,1
1,0,0,-0.055833672077855,1,0,0.8721055668643357,0,False,True,False,True,False,1,0.2391357077538898,2
0,0,1,0.8400143297628127,1,0,1.437086448635135,0,False,False,False,False,False,1,1.52105948403137,3
1,0,0,-0.0965540357978854,1,1,-1.4875204687666492,0,False,True,False,True,False,0,-0.7416265062014266,0
0,0,0,0.5549717837226001,1,0,0.3403588546094659,0,True,False,False,True,False,1,0.5168932190451523,2
