gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,InternetService_Fiber optic,Contract_One year,Contract_Two year,tenure_group_Medium,tenure_group_Short,HighMonthlyCharge,tenure_x_charge
0,0,0,-1.2774445836787656,0,0,-1.3213496211870024,1,False,False,False,False,True,0,-0.9955383805932801
1,0,0,0.35136996512244845,1,0,-1.3213496211870024,0,False,True,False,True,False,0,-0.5539525120857086
0,0,1,0.7992939660427822,1,0,-1.5207546382825785,0,False,False,False,False,False,0,-0.5702911892204887
0,0,0,-1.2774445836787656,1,0,0.37359302412539525,1,False,True,False,False,True,1,-0.973017501299394
1,0,0,1.4100994218432374,1,0,-0.4572612137728389,0,True,False,False,False,False,0,0.5023208853844024
0,1,0,1.4508197855632678,1,1,0.8388713973484064,1,True,False,False,False,False,1,1.6959274879603683
0,0,1,-0.38159658183809786,1,1,0.40682719364132464,0,True,False,False,True,False,1,-0.22452945417906026
1,0,1,1.6137012404433893,1,0,0.2406563460616778,0,False,False,False,False,False,1,1.2826031150372814
1,0,0,1.5322605130033284,1,1,1.3041497705714176,1,True,False,False,False,False,1,2.2081670954291512
1,0,0,-1.2774445836787656,1,0,-1.5207546382825785,1,False,True,False,False,True,0,-0.9981878958043255
1,0,0,-1.2774445836787656,1,0,-1.4875204687666492,0,False,False,False,False,True,0,-0.997746309935818
1,0,1,0.06632741908223598,1,0,0.6394663802528302,0,False,False,True,True,False,1,0.25459121315165484
1,1,1,-0.1779947632379461,1,1,-0.4572612137728389,0,True,True,False,True,False,0,-0.3759934070771573
0,1,0,-0.5851984004382496,1,1,0.6727005497687596,1,True,False,False,True,False,1,-0.33095164848938496
0,0,0,-0.7073594915983407,1,0,-1.4875204687666492,0,True,False,False,True,False,0,-0.874102266753698
0,1,0,-0.8702409464784621,1,1,1.0050422449280532,1,True,False,True,False,True,1,-0.5451207947155572
1,0,0,-0.8702409464784621,1,0,-0.3575587052250508,1,False,True,False,False,True,0,-0.744276021412472
1,0,1,-1.2774445836787656,1,1,0.17418800702981907,1,True,False,True,False,True,1,-0.9756670165104394
0,0,1,0.18848851024232702,1,0,0.805637227832477,0,False,False,False,True,False,1,0.44756423768946363
1,0,1,-0.4223169455581282,1,0,0.805637227832477,1,True,False,False,True,False,1,-0.14195289676814438
0,0,0,-1.2774445836787656,1,0,0.17418800702981907,0,False,False,False,False,True,1,-0.9756670165104394
0,0,1,-1.2774445836787656,1,0,-1.5207546382825785,0,False,True,False,False,True,0,-0.9981878958043255
1,0,1,0.5549717837226001,1,0,0.5065297021891128,0,False,False,False,True,False,1,0.6184579688018937
0,0,0,0.758573602322752,1,1,1.4038522791192056,0,False,False,True,False,False,1,1.4031560571398485
0,0,0,0.35136996512244845,1,0,1.3041497705714176,0,False,False,False,True,False,1,0.8763441160103156
0,0,0,-1.1145631287986442,1,0,0.10771966799796033,1,False,False,False,False,True,1,-0.8564388320133951
0,0,0,0.5142514200025698,1,1,0.805637227832477,1,True,False,False,True,False,1,0.7619733760668546
1,0,1,-0.13727439951791576,1,0,-0.15815368812947458,0,False,False,False,True,False,0,-0.23821861610279496
0,1,0,-0.7073594915983407,1,1,0.9053397363802651,0,False,False,True,True,False,1,-0.3971895287655207
1,0,0,1.6137012404433893,0,0,-0.025217010065757134,0,False,False,False,False,False,0,1.0282496547769202
1,0,0,0.7178532386027215,1,1,1.3041497705714176,0,True,False,True,False,False,1,1.2896684889334025
1,0,1,-0.21871512695797646,1,0,-1.45428629925072,0,True,False,False,True,False,0,-0.7561988398621764
1,0,0,1.6137012404433893,1,0,0.6727005497687596,0,False,True,False,False,False,1,1.6959274879603683
0,0,1,0.758573602322752,1,0,0.17418800702981907,0,False,False,False,False,False,1,0.569883523266061
0,0,0,1.125056875803025,1,0,0.9718080754121239,0,False,False,False,False,False,1,1.483966271076734
